run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate,evolving_state_enabled,evolving_state_interval_seconds
245,high_load_high_acuity,baseline,7,1,43200,7200,300,100,7200,100,0.1,True,7200
246,high_load_high_acuity,cockpit_only,7,1,43200,7200,300,100,7200,100,0.1,True,7200
247,high_load_high_acuity,nursta_only,7,1,43200,7200,300,100,7200,100,0.1,True,7200
248,high_load_high_acuity,both,7,1,43200,7200,300,100,7200,100,0.1,True,7200
249,normal_load,baseline,7,2,43200,7200,300,100,7200,100,0.1,True,7200
250,normal_load,cockpit_only,7,2,43200,7200,300,100,7200,100,0.1,True,7200
251,normal_load,nursta_only,7,2,43200,7200,300,100,7200,100,0.1,True,7200
252,normal_load,both,7,2,43200,7200,300,100,7200,100,0.1,True,7200
253,high_load_high_acuity,baseline,7,2,43200,7200,300,100,7200,100,0.1,True,7200
254,high_load_high_acuity,cockpit_only,7,2,43200,7200,300,100,7200,100,0.1,True,7200
255,high_load_high_acuity,nursta_only,7,2,43200,7200,300,100,7200,100,0.1,True,7200
256,high_load_high_acuity,both,7,2,43200,7200,300,100,7200,100,0.1,True,7200
257,normal_load,baseline,7,3,43200,7200,300,100,7200,100,0.1,True,7200
258,normal_load,cockpit_only,7,3,43200,7200,300,100,7200,100,0.1,True,7200
259,normal_load,nursta_only,7,3,43200,7200,300,100,7200,100,0.1,True,7200
260,normal_load,both,7,3,43200,7200,300,100,7200,100,0.1,True,7200
261,high_load_high_acuity,baseline,7,3,43200,7200,300,100,7200,100,0.1,True,7200
262,high_load_high_acuity,cockpit_only,7,3,43200,7200,300,100,7200,100,0.1,True,7200
263,high_load_high_acuity,nursta_only,7,3,43200,7200,300,100,7200,100,0.1,True,7200
264,high_load_high_acuity,both,7,3,43200,7200,300,100,7200,100,0.1,True,7200
265,normal_load,baseline,7,4,43200,7200,300,100,7200,100,0.1,True,7200
266,normal_load,cockpit_only,7,4,43200,7200,300,100,7200,100,0.1,True,7200
267,normal_load,nursta_only,7,4,43200,7200,300,100,7200,100,0.1,True,7200
268,normal_load,both,7,4,43200,7200,300,100,7200,100,0.1,True,7200
269,high_load_high_acuity,baseline,7,4,43200,7200,300,100,7200,100,0.1,True,7200
270,high_load_high_acuity,cockpit_only,7,4,43200,7200,300,100,7200,100,0.1,True,7200
271,high_load_high_acuity,nursta_only,7,4,43200,7200,300,100,7200,100,0.1,True,7200
272,high_load_high_acuity,both,7,4,43200,7200,300,100,7200,100,0.1,True,7200
273,normal_load,baseline,7,5,43200,7200,300,100,7200,100,0.1,True,7200
274,normal_load,cockpit_only,7,5,43200,7200,300,100,7200,100,0.1,True,7200
275,normal_load,nursta_only,7,5,43200,7200,300,100,7200,100,0.1,True,7200
276,normal_load,both,7,5,43200,7200,300,100,7200,100,0.1,True,7200
277,high_load_high_acuity,baseline,7,5,43200,7200,300,100,7200,100,0.1,True,7200
278,high_load_high_acuity,cockpit_only,7,5,43200,7200,300,100,7200,100,0.1,True,7200
279,high_load_high_acuity,nursta_only,7,5,43200,7200,300,100,7200,100,0.1,True,7200
280,high_load_high_acuity,both,7,5,43200,7200,300,100,7200,100,0.1,True,7200
281,normal_load,baseline,8,1,43200,7200,300,100,7200,100,0.1,True,7200
282,normal_load,cockpit_only,8,1,43200,7200,300,100,7200,100,0.1,True,7200
283,normal_load,nursta_only,8,1,43200,7200,300,100,7200,100,0.1,True,7200
284,normal_load,both,8,1,43200,7200,300,100,7200,100,0.1,True,7200
285,high_load_high_acuity,baseline,8,1,43200,7200,300,100,7200,100,0.1,True,7200
286,high_load_high_acuity,cockpit_only,8,1,43200,7200,300,100,7200,100,0.1,True,7200
287,high_load_high_acuity,nursta_only,8,1,43200,7200,300,100,7200,100,0.1,True,7200
288,high_load_high_acuity,both,8,1,43200,7200,300,100,7200,100,0.1,True,7200
289,normal_load,baseline,8,2,43200,7200,300,100,7200,100,0.1,True,7200
290,normal_load,cockpit_only,8,2,43200,7200,300,100,7200,100,0.1,True,7200
291,normal_load,nursta_only,8,2,43200,7200,300,100,7200,100,0.1,True,7200
292,normal_load,both,8,2,43200,7200,300,100,7200,100,0.1,True,7200
293,high_load_high_acuity,baseline,8,2,43200,7200,300,100,7200,100,0.1,True,7200
294,high_load_high_acuity,cockpit_only,8,2,43200,7200,300,100,7200,100,0.1,True,7200
295,high_load_high_acuity,nursta_only,8,2,43200,7200,300,100,7200,100,0.1,True,7200
296,high_load_high_acuity,both,8,2,43200,7200,300,100,7200,100,0.1,True,7200
297,normal_load,baseline,8,3,43200,7200,300,100,7200,100,0.1,True,7200
298,normal_load,cockpit_only,8,3,43200,7200,300,100,7200,100,0.1,True,7200
299,normal_load,nursta_only,8,3,43200,7200,300,100,7200,100,0.1,True,7200
300,normal_load,both,8,3,43200,7200,300,100,7200,100,0.1,True,7200
