bandwidth_m,split,training_dates,comparison_direction,training_events,held_out_events,observed_half_distance,abm_pooled_distance,abm_matched_median_distance,abm_matched_low,abm_matched_high,global_random_median_distance,global_random_low,global_random_high,zone_random_median_distance,zone_random_low,zone_random_high
4.0,1,2023-12-11;2023-12-12;2023-12-13,average_of_both_held_out_directions,71,288,0.1830402949004972,0.17069507186156202,0.18052460368382975,0.15386403939418386,0.22081548952062896,0.28983429735510235,0.2526751829848079,0.3290572824462175,0.321612907866581,0.2906623406402684,0.35387266260668926
4.0,2,2023-12-11;2023-12-12;2023-12-14,average_of_both_held_out_directions,117,242,0.2397698532585374,0.1821478507128802,0.19016119005440446,0.16862182551178442,0.21509817832325795,0.2983382751176874,0.26917681998702575,0.32380166610747985,0.3269958129257964,0.2997973925571372,0.34976141215868534
4.0,3,2023-12-11;2023-12-12;2023-12-15,average_of_both_held_out_directions,165,194,0.29703359498585924,0.20010784067246798,0.20495213087226039,0.18050831195926845,0.2363538973216951,0.3030084755661452,0.27875353441161566,0.3292501097792169,0.3322369998533798,0.30812942935852505,0.35659541047774435
4.0,4,2023-12-11;2023-12-12;2023-12-16,average_of_both_held_out_directions,159,200,0.24823511636439716,0.17440450748163508,0.1816625322108864,0.15731346947474034,0.20931018414360206,0.2844986873859062,0.2514714188861434,0.31088495924359705,0.3119939206952741,0.2825033021373713,0.3369696894830689
4.0,5,2023-12-11;2023-12-13;2023-12-14,average_of_both_held_out_directions,111,248,0.275647116353197,0.19472427246132457,0.20167579230740046,0.17978570428661445,0.22710497274272415,0.3049012033513516,0.28184447808447877,0.3323293633880697,0.332082513772636,0.30440357735712814,0.35875257437920927
4.0,6,2023-12-11;2023-12-13;2023-12-15,average_of_both_held_out_directions,159,200,0.2504500142907891,0.18326584039642957,0.19049096041868754,0.16351434236135787,0.21509821306348081,0.29493039199957494,0.27002258593706624,0.32129423907941346,0.32290036288812796,0.2986612542449552,0.34855466531189766
4.0,7,2023-12-11;2023-12-13;2023-12-16,average_of_both_held_out_directions,153,206,0.2666021410720747,0.18491790741445596,0.19164886637696185,0.16380740866987775,0.21655079598637983,0.2801152519326774,0.25423148651804806,0.3054755905807638,0.31156683939382557,0.2891128543644746,0.3355260255968879
4.0,8,2023-12-11;2023-12-14;2023-12-15,average_of_both_held_out_directions,205,154,0.31478118327794513,0.19888365755160708,0.20342269443709876,0.17700265364511752,0.2351523760700724,0.2933687928883041,0.26763607171461,0.32183409569357,0.32135614641251475,0.296914045601966,0.34576024925862453
4.0,9,2023-12-11;2023-12-14;2023-12-16,average_of_both_held_out_directions,199,160,0.2442887637852583,0.17980225877167244,0.185267140362263,0.16092822572466656,0.21355509492976793,0.2914368659426506,0.2627423833614633,0.3183813999870558,0.32441487559808085,0.3015079079670577,0.351027347550575
4.0,10,2023-12-11;2023-12-15;2023-12-16,average_of_both_held_out_directions,247,112,0.24149737568063165,0.1843065324418252,0.19215203809911652,0.17250594972610636,0.22075059209297637,0.2968416403432782,0.26720870515562767,0.3260003593089486,0.32480873543923006,0.301600428723456,0.35095115151123374
